( cus_quz_gui_202000 "Qantapuni qhawashayki warmiypaq." ) 
( cus_quz_gui_202001 "Kuraq wayqeyki punkuta wisq'achun allinta." ) 
( cus_quz_gui_202002 "Churiymi soqta wakata qatenqa orqoman." ) 
( cus_quz_gui_202003 "K'ankakuna q'ello sarata mikhushanku." ) 
( cus_quz_gui_202004 "Churiymi uyanta uphakun mayu unuwan." ) 
( cus_quz_gui_202005 "Munay takiyta takirani warmiypaq p'unchayninpi." ) 
( cus_quz_gui_202006 "Qosqopin tiyani kinsa chunka wataña." ) 
( cus_quz_gui_202007 "K'ulluta apamuy tiyanaypaq." ) 
( cus_quz_gui_202008 "Allin tuta kachun khunpa." ) 
( cus_quz_gui_202009 "Wasiykita ripuy punkuyta qellichashanki." ) 
( cus_quz_gui_202010 "Wayqey ollanta imatan paqarin ruwanki wasiykipi." ) 
( cus_quz_gui_202011 "Pillas punkuykipi sayan payllas sonqoykita suwan." ) 
( cus_quz_gui_202012 "Wayqey yanapariway ama hina kaychu." ) 
( cus_quz_gui_202013 "Lliw uywakuna mikhunata maskhaspa purisqaku." ) 
( cus_quz_gui_202014 "Minchha paqarin wasiykita hamusaq." ) 
( cus_quz_gui_202015 "Uchuta kutamuy qowe kanka mikhunanchispaq." ) 
( cus_quz_gui_202016 "Lliw sipas warmikuna wayk'unqaku." ) 
( cus_quz_gui_202017 "Wawayki uyanta uphakushan yachaywasiman ripunanpaq." ) 
( cus_quz_gui_202018 "Osqhaylla hamuychis mikhunanchis qarasqañan kashan." ) 
( cus_quz_gui_202019 "Chay k'irisqa makiykita qora hanpikunawan qhaqosayki." ) 
( cus_quz_gui_202020 "Yachachiq wiraqocha puñurapusqa tiyasqanpi." ) 
( cus_quz_gui_202021 "Usqhaylla mikhuy huñunakuymanmi rinayki kashan." ) 
( cus_quz_gui_202022 "Ususiyqa qosan yanapaq rishan chakrapatata." ) 
( cus_quz_gui_202023 "Chay runa sinchi millayllañan kakusqa." ) 
( cus_quz_gui_202024 "Llank'asqaymanta chayamushani sinchi sayk'usqallaña." ) 
( cus_quz_gui_202025 "Kunallan qowe kankata qomosayki mosoq p'ukupi." ) 
( cus_quz_gui_202026 "Hatun taytay thanta p'achaykita ruphachiy." ) 
( cus_quz_gui_202027 "Kuraq wayqeyki ch'aqe lawata mikhushan sayaspalla." ) 
( cus_quz_gui_202028 "Noqayku risaqku chakra qarpaq paqarin tutamanta." ) 
( cus_quz_gui_202029 "Noqata kayllapi suyawanki qonqaylla kutiramusaq." ) 
( cus_quz_gui_202030 "Ama phawakachaychu laq'akuwaqtaq." ) 
( cus_quz_gui_202031 "Kaymanta ripuqtiyqa aman qonqawankichu." ) 
( cus_quz_gui_202032 "Kuska tiyakuqtinchisqa manaña khaynatachu purinki." ) 
( cus_quz_gui_202033 "Mikhunata maskhaspa purisqaku." ) 
( cus_quz_gui_202034 "Ama aswan kay onqoyli wallpataqa mikhusaqchu." ) 
( cus_quz_gui_202035 "Ama waqankichu sinchita kutimullasaqmi." ) 
( cus_quz_gui_202036 "Osqhay llank'achunku sukhayamushanña." ) 
( cus_quz_gui_202037 "Kuraq panaypaq q'epenta suwarapusqaku qhatushaqtin." ) 
( cus_quz_gui_202038 "Manan riyta munanichu rantiq sayk'usqan kashani." ) 
( cus_quz_gui_202039 "Sinchitan chirishan rit'isqanrayku." ) 
( cus_quz_gui_202040 "Lloqlla unu wasikunata urmachishan chikchisqanrayku." ) 
( cus_quz_gui_202041 "Llanq'aychis allinta kallpasapa waynaraq kashaspaykichis." ) 
( cus_quz_gui_202042 "Imanaqtintaq mayukunapi ima challwapas kanñachu." ) 
( cus_quz_gui_202043 "Soqta warmikuna p'achata t'aqsanku mayupi." ) 
( cus_quz_gui_202044 "Iskay k'ankakuna kuruta mikhushanku chakraypatapi." ) 
( cus_quz_gui_202045 "Wallpa runtuta oqllashan q'esanpi." ) 
( cus_quz_gui_202046 "Chay yana alqochas wallpata kanirusqa kunkanmanta." ) 
( cus_quz_gui_202047 "Imapaqmi unuta apashanki wasiykiman." ) 
( cus_quz_gui_202048 "Noqa unuta apashani wasiyman mikhuna wayk'unaypaq." ) 
( cus_quz_gui_202049 "Sumaq q'apashaq yuraq t'ikata pallaramusqanki." ) 
( cus_quz_gui_202050 "Wasimasinchis saqeyapanchis ichaqawawankuna sinchita waqashanku." ) 
( cus_quz_gui_202051 "Warmiymi llanp'u makinwan k'irisqa wasayta qhaqhowashan." ) 
( cus_quz_gui_202052 "Chay mikhunaqa qankunapaqmi karan." ) 
( cus_quz_gui_202053 "Chay erqekuna khuyay khuyay uyantin purishanku mamanku wañurapuqtin." ) 
( cus_quz_gui_202054 "Paykuna hamusqaku sinchi kusisqa pukllasqankumanta." ) 
( cus_quz_gui_202055 "ñak'ayta aypani huñunakuyniyman." ) 
( cus_quz_gui_202056 "Chhaynata kutichiwan chay mana p'enqarikuq warmi." ) 
( cus_quz_gui_202057 "Allillanmi llank'amushani yunka ukhupi." ) 
( cus_quz_gui_202058 "Mamayqa imaymana ruwaykunatan yachan." ) 
( cus_quz_gui_202059 "Mamayqa yachan awayta sirayta wayk'uyta ima." ) 
( cus_quz_gui_202060 "Mast'ay iskaynin chusikunata ch'akinanpaq." ) 
( cus_quz_gui_202061 "Ususiyki yachanñachu lliklla awayta." ) 
( cus_quz_gui_202062 "Ususiyqa manaraqmi yachanchu lliklla awaytaqa." ) 
( cus_quz_gui_202063 "Maytan purishan mamayki askha qolqeta aparikuspa." ) 
( cus_quz_gui_202064 "Q'aytu rantiqmi rishan mosoq chusi awananpaq." ) 
( cus_quz_gui_202065 "Hatun ch'unpi alqamari mikhushan k'ello qaraywata." ) 
( cus_quz_gui_202066 "Hayk'a wataña llank'anki kay qosqo llaqtanchispi." ) 
( cus_quz_gui_202067 "Kuraq churiy chayaramunña hatun yachaywasimanta." ) 
( cus_quz_gui_202068 "Churay hanp'ara pataman ch'uño lawa p'ukuta kunallan mikhusaq." ) 
( cus_quz_gui_202069 "Hatun taytaypaq ninrinmi roqt'oyapun manan uyarinchu imatapas." ) 
( cus_quz_gui_202070 "Huch'uy alqoykita maymanpas apachiy alqoywanmi maqanakun." ) 
( cus_quz_gui_202071 "Puñullayña noqa rikch'achisayki pacha paqariyta." ) 
( cus_quz_gui_202072 "Chukchaykita ñaqch'akuy huñunakuyniykiman rinaykipaq." ) 
( cus_quz_gui_202073 "Manan llank'aq risaqchu chakisenqaymi sinchi punkisqa kashan." ) 
( cus_quz_gui_202074 "Hayk'a qolqetan apashanki mosoq p'acha rantinaykipaq." ) 
( cus_quz_gui_202075 "Kinsantin wakaykita michimuy haqay orqo qhatapi." ) 
( cus_quz_gui_202076 "Hathun yana anka yaqalla hap'irusqa huk huk'uchata." ) 
( cus_quz_gui_202077 "Yanapanakuychis qankuna pura tukunaykichis kama." ) 
( cus_quz_gui_202078 "Kunanqa pasapuychis wasiykichista manan ima ruwanapas kanñachu." ) 
( cus_quz_gui_202079 "Munasqay warmiy chukchaykita t'aqsakuy qhatoqmi rinayki kashan." ) 
( cus_quz_gui_202080 "Simiykita moqch'ikuy waway ña pasapunaykiñan kashan." ) 
( cus_quz_gui_202081 "Mikhunata qaramuway hathun aychayoqta yariqawashanmi." ) 
